date,regime,posture,confidence,risk_score,composite,growth,liquidity,breadth,credit,volatility_safety,payload,recorded_at
2025-03-07,Risk-Off Contraction,Capital preservation,62.2,60.3,39.7,28.8,29.0,32.3,57.2,51.4,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 62.2, ""risk_score"": 60.3, ""composite"": 39.7, ""components"": {""Growth"": 28.8, ""Liquidity"": 29.0, ""Breadth"": 32.3, ""Credit"": 57.2, ""Volatility safety"": 51.4}}",2026-07-22T16:02:33.562924+00:00
2025-03-14,Risk-Off Contraction,Capital preservation,63.2,61.7,38.3,31.3,30.1,25.2,55.8,48.8,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 63.2, ""risk_score"": 61.7, ""composite"": 38.3, ""components"": {""Growth"": 31.3, ""Liquidity"": 30.1, ""Breadth"": 25.2, ""Credit"": 55.8, ""Volatility safety"": 48.8}}",2026-07-22T16:02:33.716442+00:00
2025-03-21,Slowdown,Defensive tilt,57.6,53.7,46.3,48.9,41.2,31.8,60.4,49.1,"{""regime"": ""Slowdown"", ""posture"": ""Defensive tilt"", ""confidence"": 57.6, ""risk_score"": 53.7, ""composite"": 46.3, ""components"": {""Growth"": 48.9, ""Liquidity"": 41.2, ""Breadth"": 31.8, ""Credit"": 60.4, ""Volatility safety"": 49.1}}",2026-07-22T16:02:33.878832+00:00
2025-03-28,Risk-Off Contraction,Capital preservation,62.8,61.1,38.9,29.8,29.8,27.1,58.1,49.8,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 62.8, ""risk_score"": 61.1, ""composite"": 38.9, ""components"": {""Growth"": 29.8, ""Liquidity"": 29.8, ""Breadth"": 27.1, ""Credit"": 58.1, ""Volatility safety"": 49.8}}",2026-07-22T16:02:34.043035+00:00
2025-04-04,Risk-Off Contraction,Capital preservation,77.8,82.6,17.4,0.0,11.9,0.0,40.7,34.6,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 77.8, ""risk_score"": 82.6, ""composite"": 17.4, ""components"": {""Growth"": 0.0, ""Liquidity"": 11.9, ""Breadth"": 0.0, ""Credit"": 40.7, ""Volatility safety"": 34.6}}",2026-07-22T16:02:34.200114+00:00
2025-04-11,Risk-Off Contraction,Capital preservation,79.6,85.1,14.9,9.8,15.9,4.8,29.4,14.7,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 79.6, ""risk_score"": 85.1, ""composite"": 14.9, ""components"": {""Growth"": 9.8, ""Liquidity"": 15.9, ""Breadth"": 4.8, ""Credit"": 29.4, ""Volatility safety"": 14.7}}",2026-07-22T16:02:34.352879+00:00
2025-04-17,Risk-Off Contraction,Capital preservation,81.8,88.2,11.8,0.0,11.4,4.7,28.1,14.7,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 81.8, ""risk_score"": 88.2, ""composite"": 11.8, ""components"": {""Growth"": 0.0, ""Liquidity"": 11.4, ""Breadth"": 4.7, ""Credit"": 28.1, ""Volatility safety"": 14.7}}",2026-07-22T16:02:34.505743+00:00
2025-04-25,Risk-Off Contraction,Capital preservation,76.8,81.1,18.9,16.7,15.7,22.0,27.6,12.4,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 76.8, ""risk_score"": 81.1, ""composite"": 18.9, ""components"": {""Growth"": 16.7, ""Liquidity"": 15.7, ""Breadth"": 22.0, ""Credit"": 27.6, ""Volatility safety"": 12.4}}",2026-07-22T16:02:34.657657+00:00
2025-05-02,Risk-Off Contraction,Capital preservation,70.5,72.2,27.8,27.5,22.2,45.6,29.9,13.9,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 70.5, ""risk_score"": 72.2, ""composite"": 27.8, ""components"": {""Growth"": 27.5, ""Liquidity"": 22.2, ""Breadth"": 45.6, ""Credit"": 29.9, ""Volatility safety"": 13.9}}",2026-07-22T16:02:34.812203+00:00
2025-05-09,Risk-Off Contraction,Capital preservation,71.4,73.4,26.6,21.2,18.3,51.3,28.6,13.8,"{""regime"": ""Risk-Off Contraction"", ""posture"": ""Capital preservation"", ""confidence"": 71.4, ""risk_score"": 73.4, ""composite"": 26.6, ""components"": {""Growth"": 21.2, ""Liquidity"": 18.3, ""Breadth"": 51.3, ""Credit"": 28.6, ""Volatility safety"": 13.8}}",2026-07-22T16:02:34.965599+00:00
